自定义SKU,ASIN（子Asin）,物品状况,价格,库存数量,发货方式,跟卖方式,跟卖时间,下架时间,备货周期(天)
 k4iji79rdw,B08M43RRLD,New,21.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 k1x1j82kk8,B071X916QR,New,22.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 x5brzwxfd4,B01LBJMH1S,New,24.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ynnjnnwk2y,B07MTY5CNB,New,12.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 akz604t1r9,B07DM43661,New,26.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 k0iw6hjea9,B088KMGRRW,New,51.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 hye71im46f,B07V2Y47QJ,New,18.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 y640pa2wwd,B08NT852QD,New,22.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 5t587iejaw,B073XWW59D,New,21.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 304bf2r3dh,B08VMV9PNV,New,23.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 rxfwr6znds,B08QRVGD76,New,14.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ikyd9w78ht,B073XXCRPW,New,18.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 syme6x3my1,B088KJ9SK1,New,29.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 pjmnms1ie8,B07TW4LLRS,New,18.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 67hbzd6izc,B08GZ7P728,New,13.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 j91132x9z5,B08TBT2HSY,New,29.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 23ndbwyc52,B08TBQVH9L,New,29.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 s0x95nw0c6,B08QDM73Y5,New,36.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 m9i9wbbd4m,B08124K4WM,New,40.6,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 h9etiy0tht,B0897DWYN7,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 z3hn3p5tfk,B07MKJVPLR,New,56.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 r1tfhnh8n8,B08Q35KQS6,New,66.49,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 bnswa2sy6w,B07K47QN8R,New,231,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 mz3pn06z43,B06VVXVTTV,New,14.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 6jwy9t5aha,B01C9J2F70,New,14.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ddb8dmak0y,B01MUEDL81,New,10.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 fyt2iz1znf,B00NDZB5OO,New,17.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 jkrm7ys3zc,B078Z41YMT,New,11.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 h6yefcyi95,B00MNNJ9H2,New,36.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 fhybpm3p82,B0743JCH4T,New,34.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 fyc2kdn4hk,B07Q9LDCTZ,New,10.91,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 i5drf8js22,B008YG65EM,New,11.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 jye03jjc4t,B01MTD0DB3,New,10.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 r7y95tkb99,B076MKHQPR,New,257,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 dbiijmk3hx,B08JLZBL71,New,21.58,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 tyynpp01yx,B07PV9HP16,New,37.9,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 e2rk4kw4we,B08MX7KT3F,New,11.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 nhj1d1236t,B08QYS5YW9,New,25.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
